" There are a small handful of cheap places to stay in Agumbe,"	
 The queues late pm are very long.	0
" the queen and rooms for the servants,"	1
We manage eventually to get a reasonable Tuk Tuk guy to take us back to the East Gate for a reasonable – if inflated Rs 80 but a far cry from the Rs 200 to 400 we were being asked for!	1
Alice and Hanna had displayed interest to the wife of our home stay about Henna and having their hands decorated.	1
 The lady charged about one pound fifty for the head massage which was a new experience for me ….	0
We rose at 7am today and had breakfast in the home-stay dining room.	1
 The structure was amazing; with a huge hole in the ground being lines with steps to allow the locals to get down to the water table level without the use of ropes and buckets.	1
 The well also functioned as a meeting place and a forum for the people to meet the local leader.	0
We climbed back into the car and continued our journey; arriving at the ‘resort’ hotel.	1
 After a slight delay we were shown to our rooms and had an early night.	1
 These belonged to different kings and queens that ruled this area and were used as bathing places for them.	0
 or take taxi - too expensive.	0
 such a place in Europe would be thoroughly preserved and maintained as a major tourist attraction.	1
 so we just walked back to our room and called it a day.	1
 Hier hebben we nog even mogen douchen in het hotel en vanuit daar hebben we een riksjaw gepakt om naar de bus te gaan die ons naar Jodhpur zou brengen.	1
 Hier hebben we een riksjaw genomen naar een hotel en zijn toen lekker naar bed gegaan.	1
" Eenmaal aangekomen in Jaipur hebben we een rikshaw naar het """"nr1 hotel"""" van de Lonely planet genomen,"	1
 Daarna zijn we terug gereden naar het hotel en hebben we een massagesalon gebeld om ons op te pikken en eens lekker te verwennen!	0
 Na helemaal relaxt terug te zijn gekomen hebben we bij het hotel de bus naar Agra geboekt en zijn we daarna lekker gaan slapen.	0
 In Agra ligt de Taj Mahal en in de lonely planet lazen we dat er een paar hotels waren die vanaf hun dakterras hierop uitkeken.	1
 Na 2 volle hotels te hebben bezocht hadden we er eentje gevonden en het was super!	0
 Je kon gewoon een van de wereldwonders zien vanuit je hotel terwijl je geniet van een hapje en een drankje!	0
" We are staying at the same hotel in Delhi on Friday night,"	0
 and the two wheel taxi's that I have forgotten the name.	0
 and then waiting for the guide to show up.	0
"waiting for their Indian guide,"	0
" We made a short stop at the usual """"artisan"""" shop for the hard sell of local merchandise,"	0
 was defending a pig on the charge of deserting its sty.	1
We spent that night in a rather aweful hotel in New Jalpaiguri.	0
 we didn't get close enough for me to actually see burning bodies.	1
 We hobbled up the stairs together and luckily managed to wend our way the same way our group had gone.	1
"Our rickshaw drivers were waiting for us in a little """"parking lot""""."	1
" ze nas odveze do """"very cheap and beautiful hotel""""."	1
We’ve enjoyed our short stay in India.	1
 It was extremely comfortable and the owners gracious.	1
 This is because this highway is a toll road and a twice as costly as the old road.	0
 we allowed a travel agency to arrange the trip as we were in Bhutan and had spotty internet.	1
 We didn’t have enough time to mess with this ourselves.	0
 the Jantar Mantar Observatory was pretty cool as it contained instruments designed and built in the 18th century to determine the local time (a sun dial) and other designs allowed the telling of the sign of the zodiac (quite important in the Hindu religion) and the position of the North Star.	1
 Crowded shops selling everything imaginable and garbage everywhere.	1
 The temple also feeds anyone who shows up and has plenty of volunteers to make this happen.	1
 The pool on the site was considered holy and could cure diseases of the skin as well.	1
" Rather than the queues we'd had in other countries,"	0
" On the rare occasion one of us managed to nod off,"	0
 but he was easily cleaned up when we got to our room and then we had a few hours sleep before going out to explore the city in the daylight.	1
" There's an abundance of street food which can mean a meal for both of us for under a pound or there are loads of cheap restaurants serving thalis,"	1
 we managed to book a train from Varanasi and travelled by overnight sleeper to Agra.	1
" we checked into a cheap room which had roof top views of the Taj Mahal,"	1
discover that neither sheep or toys are permitted into the Taj Mahal and that Chris would have to put him in a locker and then queue to get in again.	1
" but fortunately he managed to contain his outrage and kept quiet whilst Chris,"	0
" managed to persuade security that we would keep Bob under control,"	1
 The city was built in the 16th Century but abandoned soon after completion when the ruling emperors moved to Agra.	0
 Slightly more irkesome are the touts who try to get you into various shops where they will then get commission.	1
" Chris managed to pick up one particularly annoying individual on our last day in Varanasi who followed him just about everywhere trying to get commission each place he went,"	1
new and creative ways of managing it and Emma has only lost her temper once or twice.	1
" The difficulty is trying to identify the genuinely friendly,"	1
"Allow at least 4 hours to book a train ticket (time required to do a circuit of every desk in the station,"	1
"Traveller food 'rules' broken - 12 including drinking drinks with ice,"	0
 so I was disappointed to say the least.	0
"dropping out: without Rinpoche it wasn’t worth it; it would be more beneficial to stay in Bodhgaya and do more prostrations; the timeframe was too short,"	1
” my status as a newcomer marks me as different enough that my ego is subtly fed.	1
 Stopping to eat was an operation that we never managed to accomplish in less than an hour and a half.	1
" while I would have liked for this to be a more informative piece of writing,"	1
" but we had a long day in Delhi and I wasn't realy up to going back to the basement internet cafe near the hotel there,"	0
 and didn't realize there was a free business center in the hotel in Varanasi.	1
"Saturday we moved out of the hotel and into the first of many hostels,"	1
" He understood that the Buddha must truly be extraordinary to inspire such faithfulness and refused to allow Sudatta to lay a single golden coin more,"	1
" the only places to stay in Sravasti are the various temples established by foreign Buddhist countries – Myanmar,"	0
 I stayed at the Korean Temple along with a group of elderly Koreans.	1
 The club was in the bottom of a dead hotel and we weren't expecting much.	0
What happens when a group of westerners get wifi in a cafe.	1
" so the ride wasn't comfortable and I was sleeping with one eye open,"	0
" The hotel was in the best spot possible,"	1
 about 7 shops inside it with limited stock.	0
" I managed to get a photo of both the sun and Taj in the same shot after running down the river bed a few hundred meters,"	1
 It was semi-comfortable as I had to keep my big bag on my lap and there was little legroom.	1
 The clerk at the cloak room didn’t seem excited by his job but he gave me a little piece of paper I’d better not lose.	1
 waiting for lunch time.	0
I managed to get to the Residency before 5PM.	1
 Shops were still open and people of all ages were window-shopping on the sidewalks (real sidewalks!	1
" walking past luxury hotels and neon cinemas (Heroine,"	1
 I’m planning on staying in the area before I go to the train station.	0
 Enough to keep me entertained before my night train back to Delhi!	1
 I was hoping to just find a hotel after a while and get a roon there.	1
" The first hotel didn’t accept foreigners,"	0
 It got a bit confusing when I had to explain to him that one hotel he brought me to was already full (It was the second one I tried earlier).	1
" The first hotel was full,"	0
"The Ram Hotel is big: large hallways,"	1
 It’s moderately clean but the openings in the wall for the fan and under the door have allowed a few critters to get in.	1
 At one point a cockroach jumped onto the leg of the clerk who took me to the room and he just brushed it off.	0
) and a curious gecko have been spotted in the room since then.	0
 I wiped my feet while some guy kept staring at me from outside the shop I was sitting in.	1
) to justify my staying in the shop and left.	0
" a truck load of soldiers walked into the hotel for some reason,"	0
 There was an argument between a sadhu and the guy in charge of keeping the monkeys away (he was doing a bad job by the way).	1
 The repugnant smell alone was enough to keep me away from exploring further.	1
 I walked back to the hotel and waited for the internet café to open.	0
I’m planning on watching the India cricket game in the lobby of the hotel tonight (there is no TV in my room unfortunately).	1
 A nice shower and a paratha-with-curd breakfast gave me the strengths to hang out in my room to pack my bags for the next leg of my journey.	1
 I was going to watch a bit of TV under the fan until the right time but the Alka Hotel staff knew my weakness: they unplugged the satellite TV.	1
 I had to leave the room for the cleaners.	1
 He said however that he wanted one more passenger because that’s a cheap price for the ride.	1
 People were casually staring at me while idle rickshaws were waiting by the side of the road.	0
" probably in charge of chasing away monkeys,"	0
 I waited for my train with a book.	1
 He crossed the bridge with me when the train was announced to arrive on the next platform and stayed close.	0
 So a bunch of us gathered at the hotel reception to board a boat that would leave at 6:00AM: there were two girls from Utah and a family visiting from Delhi.	1
 We boarded at the ghat beneath our hotel walking past people doing their morning bathing rituals.	0
" probably sinking her feet into inches of goo and mud and when she built enough strength,"	1
 that rule was well-respected.	1
 The manager promised to give me a better room with a private bathroom for my second night.	1
" When the staff came into my room to get me (I was reading under the ceiling fan),"	1
 I thought it was time to move to the next room and I could move on with my day.	1
 I was in hotel limbo.	1
" “in 30 minutes”… I was left wandering around the hotel courtyard,"	1
 A woman and a baby were behind me just waiting for a few seconds of my attention.	1
 I hadn’t been in a very good mood because of the room situation and I needed some good karma so I caved.	0
I still had time to write my postcards and talk to a guy checking into the hotel (“How is it like here?	1
 I chose to go to the roof top of the best hotel on the ghats and had some chick pea balls in a curry and coriander sauce.	1
Daily nugget: As I walked back to the hotel a kid walked with me asking if I wanted to see the burning ghats.	1
"Waking up this morning in the comfy bed of the Valentines Hotel in Allahabad,"	1
 I had slept like a baby after power cuts had threatened my cricket and room service evening.	1
 I managed to find my seat and put myself in a cozy position with my feet dangling over the other passengers’ heads as they walked by.	1
 temples and restaurants until we had the hotel in sight.	0
At the hotel: bad surprise.	0
 My room wasn’t ready.	0
 The Ganges’ level has risen with the rains and the room was flooded.	1
" I was assigned a cheaper room with a shared bathroom,"	1
 and decided to leave my bags in my room and just explore a bit around the hotel.	1
 Varanasi is predictably a very touristy place and my hotel is 90% full of foreigners (lots of Chinese people).	1
 People from all over have gathered around a bunch of priests waiting for 7PM to start the festivities.	1
"I plan on spending the evening at the hotel: shower,"	1
” and then the loudest firecracker exploded near a pool of mud leaving more smoke in the air than the incense from the aarti.	0
 I woke up to the face of Nicolas Cage (I hadn’t turned the TV off…) and left the hotel after a pretty good night.	1
 I got my ticket and rushed to find a comfortable seat for the next hour.	1
" I sat on a bench waiting for my next train,"	1
 I upgraded my usual hotel choice and took a nice shower in a clean bathroom.	1
 I even ordered room service for dinner to watch some cricket (that Chris Gayle’s pretty good).	1
"Jai and Mr Chowdry were nice enough to negotiate a tempo for the three of us so that we could go to Anand Bhavan,"	1
" while waiting for the place to open (they have lunch hours…),"	0
" The rooms of the building were left as they were with the original furniture Nehru had tea on and Ghandi slept on,"	1
 enough for an hour walk.	1
 enough to have a gun almost pointed at me.	0
" I stopped at a shopping center for some cash,"	1
 Cows stayed put and buses kept honking.	1
The day has come to an end in Allahabad as I am about to order some food again to watch cricket in my comfy air conditioned room (Australia vs India!	1
 No picture is allowed of course for privacy of the family and respect.	1
 for some reason all the lights in my room cannot be turned off simultaneously and a power outage at 3:30 caused the noisy fan to stop turning.	1
 Enough to wake me up.	1
Back to the hotel for a (kind of) healthy breakfast of garlic omelette and lime soda.	1
" Negotiation time: I managed to bring down the rickshaw trip to 250 rupees but the driver said """"275,"	1
 You can have the area pretty much for yourself if you go early enough but you can still have some awkward encounters.	0
Options for luch were limited around the Idgah bus stand so I settled for a hotel restaurant.	1
 I could use a tiny bit of comfort and air conditioning.	0
 My paleness seemed to have illuminated the lobby of the hotel as the dozen people who were there just turned toward me and froze.	1
 a grasshopper the size of a Bic lighter just flew into the internet cafe and landed on my leg!	1
"Fatehpur Sikri is a must-see but avoid seeing it if you're not comfortable with touts,"	1
 Back to the bus station where I managed to slalom around misinformation from ill-intentioned taxi drivers/restaurateurs/souvenir shop workers/overall crooks to find the right bus leaving at the right time.	0
 I am sitting in a makeshift internet cafe near the East Gate of the Taj Mahal.	0
 Kudos to New Delhi for having a clean and efficient international terminal.	1
"I booked a prepaid taxi to take me to my cousin Henri's appartment in New Delhi,"	1
 Easier said than done: He stank at directions (and just plain stank also).	0
 we stayed up until the new taxi came to bring me to the train station.	1
" claiming that the """"WS"""" on my ticket meant """"Wait for seat"""" and that I was on a waiting list."	1
" I was rubbing elbows with a teenage girl who was charging her phone on the wall next to me,"	1
Hotel Sheela near the East Gate of the Taj Mahal can boast a great location but a mediocre double standard room (I don't mind).	0
" They have a quiet courtyard with a decent restaurant (Lower your expectations,"	1
" Leaving the hotel at 5:45am it was light,"	0
 now polluting vehicles aren't allowed within a couple of hundred metres) was really enjoyable.	1
There was no queue at the ticket booth so we quickly had our (expensive 750 rupee) tickets and had collected our 'free' shoe covers and bottle of water.	1
 We joined the ladies queue to go through the security check.	0
 We had been told by our driver that certain things (such as knives and food) are not allowed - but as we went through the bag check Marie was told her torch was not allowed and neither was her gorilla tripod.	1
 breakfast at the hotel was spicy pasta or curry (neither of which we were impressed about) baked beans and a boiled egg- not the continental breakfast we were supposed to get but we ate knowing we probably wouldn't want lunch as it would be too hot.	0
' Then you wait in a smallish boarding area that continuously fills with people.	1
Confusingly when you book the flight you're told you are not allowed to take any hand luggage on.	1
" boarding passes and hand luggage tags checked for stamps to say they were cleared and then queue again to get another stamp on each,"	1
 hotel vouchers and settled the expensive bill.	1
 It is a different perspective driving through the chaos in a car and we are not that is entirely comfortable observing people eeking out a living behind a sheet of glass.	1
It was as hot as hell and the aircon couldn't compete with the sun and Indian roads have a speed limit of 60km.	0
" Or the lunch stop restaraunt that charged 60 rupees for a tea (that's twice the price of a nice restaraunt),"	0
" we took our bags up to the room despite the porter offering several times,"	1
Dinner at the hotel restaraunt (we were too knackered to go looking for food) took over an hour to get everything we ordered and we were the first in there - getting a roti took a record time of almost an hour and still the waiter wanted a tip.	1
" The manager Suny greeted me on arrival,"	1
 and had things organised for my two day stay in a jiffy.	1
 I had a great afternoon thanks to my kind and informative driver.	1
" I jumped a taxi to the excellent Suraj guest house in the maze of streets near the sacred Ganjes,"	1
"We managed to get a general ticket which apparently means we were on the waiting list,"	1
We hopped on the first AC carriage to find the TT man (ticket man) to see whether we could get a ticket.	1
 put our stuff on it and wait for the TT man.	1
 which much to Jamie's dismay only have fans and no AC fast forward to a very sweaty train journey!	1
 perched precariously infront of our bags and waiting for the TT man.	1
 When the TT man finally came he told us we couldn't stay all one bed and he would go and find us another.	1
 once Olivia and I had finally found the right sitting pattern and had even managed a short doze the TT man finally made a reappearance.	0
" We are currently staying in Monalisa Peace Cottage which even comes with resident monkeys and night time singing,"	1
 Nepali Temple and his shop (fortunately we managed to loose him before we had to go to his shop which obviously meant that we also got very lost).	1
" This I followed up with high tea at the Imperial Hotel where for about 800 rupees (about $16) you can tuck into all of the scones (complete with clotted cream),"	1
 Up there we could see the line of dead bodies waiting to be cremated next to the Ganges.	0
 so we spent a chilled evening reflecting on our stay in India so far.	1
 Most are bathing ghats but there are a few cremation ghats and my hotel in Varanasi just happened to be right above one of them - Harishchandra Ghat - about 50 meters from the river bank.	1
 Behind the hotel is an enormous supply of wood which the relatives of the deceased must buy to have their loved one cremated here.	0
I walked from my hotel past 20 or so ghats towards one of the main bathing ghats.	1
" The scene here was one some ways almost reminiscent of a sunny day in the summer at an English seaside resort - hundreds of people,"	0
 The next day I also managed to find a stall recommended by the guidebook - The Blue Lassi - absolutely heavenly lassis flavoured with almost any available fruit.	1
 sheer number of people and the amount of people waiting to scam you all seem to conspire against you.	1
The guidebook said 'give it a chance and this schizophrenic capital could capture your heart'.	0
 and maybe its just me that couldn't hack it (have not met a single traveller who liked it FYI)but I couldn't wait to get out of the place.	1
 transport used and even hotel rooms.	1
 and then at the end try to convince to go to some shop or tourism office they know.	0
 and also join in the game of trying to take you to a different hotel than you requested as yours is 'full'.	1
" or the hotel you booked is full or that the tourist office has moved,"	1
" taxis and rickshaws who use the horn as though a conduit,"	1
 There was some lovely architecture and easy to imagine this shah ruling over the people from his marble throne.	1
" they have left his room as it was that day showing his few worldly remains,"	1
" My hotel in Pahargang called Cottage Yes Please (indian hotel names are amazing)was great and is also recommended to others,"	1
 So overall New Delhi wasn't for me and the 3 days there were my limit and enough to see everything in my opinion.	1
" It is easy to stay longer than you planned and watch amazed at the sight before you,"	1
" I love to people watch but the 2 days here nearly gave me enough memories to store for a lifetime,"	1
 I'm not sure sitting in a cafe window and watching Cardiff people go by carrying their Tesco shopping or boutique handbags will ever be as interesting again.	1
" The area is full of heavily armed soldiers due to security issues and communal tensions,"	1
 Thoroughly daunted already we (myself and an Aussie from hotel) went ahead.	1
" where pilgrims form a queue to make their offering of milk and flower by throwing it in a well,"	1
" As we were with a hotel guide we were introduced to a priest who said he could get us in,"	0
 it was only when back at the hotel I felt vaguely normal.	0
" Alka hotel is recommended for the amazing views from the balcony and decent price,"	1
" but with enough filth to make you cross your legs,"	0
 flowing fountains and water in front which allows you to see the Taj in perfect reflection and is also built on the bend of a serene river.	1
 To top it off I had a hotel which had a rooftop restaurant and it looked right at the Taj from nearby so I spent most of that evening gazing in wonder while drinking Indian beer and eating good food with people during the sunset.	1
" I have since found India a little easier to cope with since those first early mind frazzling days in Delhi,"	0
 Outside the railway station there is a tourist office hotel booking agency so I went there first.	1
" It was useful that I did because when I mentioned that I wanted to stay near the station because I had to catch a train the next morning,"	1
 he sorted out a hotel and a cycle rickshaw to take me there.	1
After checking in at the hotel I just dumped my stuff and went straight back out and found a tuk tuk to take me to the Red Fort.	1
"Back to my hotel then for a much needed shower,"	1
 then spent an hour in an internet cafe before going to eat - had an excellent chicken curry in a really small local food shop (I couldn't really call it a restaurant!	1
 The train was also almost an hour late in leaving so I had a long wait on the platform where I had some breakfast (vegetable samosas!	0
" and there was a separate queue for foreigh tourists,"	1
 I went outside and got a tuk tuk to one of the hotels recommended in the Lonely Planet India guide - The Shanti Lodge.	1
 This hotel has a rooftop restaurant with a superb view of the Taj Mahal.	1
" so this afternoon I just walked around all 3 sides of the Taj Mahal (it backs on to the river but you aren't allowed to walk along that side),"	0
On Tuesday morning I had breakfast on the roof garden of the hotel with the Taj Mahal in the background.	1
A car picked us up from our hotel at 6am and we set off for Agra!	1
 taxi's - the lot!	1
 We had a few photos taken in front of it and suprisingly got to the front of a pretty small queue for the Diana seat and had a photo taken there - despite Graeme's reluctance to strike the Diana pose!	1
" The driver tried and tried to persuade us to """"take a look at my friend's shop until the rain stops"""","	1
 So after another long wait at the side of the road we were finally on our way.	0
 the children are never allowed to sit on the floor in schools.	0
 and stayed in a great motel once again with a pool ( No bats or monkeys!	1
" although I was sick for the majority of my stay here and it was extremely hot,"	1
" We were picked up at the Delhi Airport and transported to """"The Connaught"""" hotel in New Delhi."	1
 who are not allowed to be burnt; 1.	0
 After the Holyman's informative chat he then hit us with how they need funds to run Hospice building where poor people come to die next to the holy ghat.	1
 He said that he hoped he could save enough money to buy them a shop!	1
" There are thousands and thousands of these tiny shops in the streets of Varanasi and that was his ambition for his children,"	1
 At this point of time we deemed it necessary to take a little time off touring so on Kezia's advice we visited the Syria Hotel which had a pool that you could use and cool drinks.	1
 who went into the house while we bemused waited in the Jeep.	0
) until we arrived at the hotel we were supposed to arrive at the following day!	0
" So after breakfast our immediate port of call was the hotel swimming pool,"	1
"restaurant (dragged out for a few hours as there was ac and a decent place to play cards in) having a meat platter,"	1
 Then back to the pool and then back to the bar!	1
" The group booked through the hotel to go down,"	1
 holy people and lepers were cast into the river rapped in shrouds as they were not allowed to be burnt.	0
"through Agra to our hotel was not all that inspiring,"	0
"the road we managed to block it in both directions,"	1
especially after what we charge foreigners to see the sights of London.	1
 so i managed an auto in 200 rs to cover all major destination spots in agra.	1
 After putting my bagpack in the clock room and paying entry fee i entered.	1
 The train itself was not fancy or overly comfortable but we had a place to sit and a window to enjoy the views that passed by.	0
As we sat waiting for our train to set of on the 3 1/2 hour journey to Agra we enjoyed watching the hustle and bustle of the train station from our safe quarters.	1
" Other than the room conditions,"	0
" I plan on finding a good organization soon and making donations that way,"	1
 with all the haze there wasn't much of a sunrise but at least it was still cool enough to enjoy our visit.	1
" A private car would be waiting for us at 2 pm to take us to our next destination,"	1
 so we ran back to the shop and bought 10 more.	1
" pushing in queues and generally just causing unnecessary chaos,"	1
 We decided to splash out on a $30 a night hotel and its like a palace.	1
" We have organised for the hotels tuk tuk driver,"	1
 and charging you much more too.	0
"The idea to book a hotel in Agra was a good one,"	1
" The prepaid taxi driver from the train station to the hotel was all nice and charming,"	1
 and you can hire this car for the whole day!	1
 the last time when we pulled off by the hotel with the Taj clearly in the view.	1
" you are informed that the ticket office is 1 km away,"	0
 we walk there dodging rikshas and promising a teenage guy called Lucky to have a look at his shop after Taj.	1
" yes we will visit your shop we promise,"	1
" I was stupid enough to have the swiss knife and a torch in my pocket,"	1
 and these two are not allowed inside.	0
---->These are not allowed inside.	0
"The hotel I was staying in was filthy,"	0
Anyway if your thinking of staying here I would definately recommend against it.	0
 so no lights are really allowed in anyway.	0
 After this we managed to go back to sleep and have a bit of a lie in.	1
 We lugged our backpacks through the stinky alleys until we reached the car - which had managed to get down to the Ghats at this time of the day (no Pilgrms!	0
 We have included some photos of our 'hotel' with this blog.	1
 Mr Barun was waiting for us in the Arrival Hall at Delhi Airport.	1
 He drove us the half hour to our hotel wich was called The Residence and is located in South Delhi.	1
The hotel is one of the best yet.	1
 The room was lovely.	1
" It has maintained its religious heritage since the 6th century BC in one continuous tradition,"	1
" It is located on a ford on the river and is among the holiest of all tirthas ('crossing place'? These tirthas allow the devotee access to the divine,"	1
order to meet our guide for the day in the hotel reception.	1
 was waiting and immediately led us down the hotel steps to the river bank where there was a young boy waiting for us with a rowing boat.	1
 temples and palaces (of which our 'hotel' was one).	0
 Ajay informed us that they only send out one priest for the morning rituals (unlike the ceremony last night when there were quite a few).	0
" In reality the river is scummy with effluent (our hotel probably being one of the contributors - there is no sewage system),"	0
 M looked a bit concerned and asked Ajay where the hotels did their laundry.	1
 and facilitating the final release for those lucky enough to pass away here.	0
 We were not allowed inside as you had to be a Hindu.	0
Ajay arrived on time and we walked back through the alleys to the waiting car and driver.	1
 We returned to the hotel where over a Kingfisher D decided that Varinasi should have a new English name.	1
 There were four separate queues to get in.	1
 The men’s queue moved fairly swiftly but the women’s was painfully slow.	0
 The emperor was devastated by her death and wanted to create an unsurpassable monument to her memory and its name 'Taj Mahal' is simply an informal version of the title of the palace in which Mumtaz lived.	0
 The original structure would have been made of wood and scattered with luxurious carpets and the ceiling would have been covered with satin canopies.	1
 There is an identical building to the east which was only added to maintain the symmetry of the complex.	1
 We waited on the platform with our agent for the train.	1
 The journey to Bharatpur Station took us about two and half hours and we were met by the agent who was waiting outside our carriage.	0
 He took us to the waiting Mr Barun.	1
 who was to stay with us until we left Agra.	0
 It consists of 3 rooms and is also known as 'Blind Man's Buff House' as it is great for playing the ancient game.	0
Next we went to the Anup Talao (Peerless Pool) which has a balustraded platform in the centre which is approached by 4 causeways.	1
 Sachin told us a little of the history of the building before we climbed aboard the tuk tuk and retuned to the car park and the waiting Mr Barun.	1
 We were not in a hotel this time but a homestay.	1
 This is where you stay in a room in someone's house.	0
" The room was clean,"	1
 It was a bit of a rip off but was enough to curb our hunger.	1
 We stopped at a 'Wine Shop' and Mr Barun got us a couple of Kingfishers (he gets Indian prices of 70 rupees where we get charged 5 times that) to take back to the hotel.	1
We will get a taxi to the railway station in a few hours and will arrive in Kolkata at 08.	0
 My ticket is confirmed but I do not have my Coach/Berth number so I go to the ticket office and the man goes on the railway internet site and gets my details for me.	1
Now to wait for the train and wait I did.	0
 This afternoon Mirs wants some company to go shopping so a stroll of the town it is.	1
About this time I managed to lock myself out of my room by snapping shut my padlock and leaving all the keys inside.	0
I wait at the stop and try to find some shade as it is again a warm one.	1
I sit next to a lad called Michael from Frankfurt and no sooner then we had said hello when in the seats in front are 2 of the volunteers from Holi in Jodhpur.	1
 We arrive have a look at the rooms which are ok and we are in.	1
As I am going up to my room I meet at guy called Eggi also from Frankfurt who I was with for a short time in Bundi.	0
Michaeland me decide to get up early and go to the Taj before the AC buses arrive.	1
Up early to get to the Taj and join the queue for a ticket.	0
It’s now late afternoon and I have to leave tonight for Varanasi so back to the hotel to eat and get my ruck which is locked away in Michael’s room.	1
 While looking up something later we found this was a common scam by tuk tuk drivers who then go on to charge you a lot for the journey to the correct stop.	1
 Why they allow them on the bus in the first place I don’t know.	0
Hotel we are staying at in Agra is called the tourist rest house owned by the same people who owned our last hotel the Sunder palace.	1
" wifi occasionally,"	0
 The person who picked us up tried to scam us for a visit to the Taj Mahal charging 650 ruppees for services that even he wasn’t really able to justify for the cost.	0
 He is also the waiter at the hotel restaurant.	1
 We decided to eat out the first night as the Hotel restaurant couldn’t cook anything we wanted and all we got was a blank look from the waiter.	1
"I left the hotel feeling rough and sneezing due to the lack of sleep,"	1
 Outside the hotel a very thin and very old Indian man peddled up to us at about 1 mph on his cycle rickshaw.	0
 He said no as the police were around and it may not be allowed so the guilt continued.	1
" which is a disappointment as we have heard it described as the dirtiest place in India and a real eye opener which is always good to hear,"	1
 We got there for 6am like everyone recommended unfortunately as expected everyone else did this too so the queue was still big.	1
 After paying the huge 750 entrance fee and another queue we finally got in.	0
 I was expecting it to be a huge disappointment as it is hyped so much but it is good to see and well worth the trip and photo op.	1
 After that we went back to the hotel after the usual detour round the tuk tuk shops.	1
 I think I will stay here and help out in the restaurant and orphanage for a while and continue doing my yoga classes everyday!	1
 I'm sharing a room with this young 20yr old Canadian guy.	1
 The room is only costing me 150r which is so cheap!	1
 I am not allowed to buy anything after a yoga class.	1
 nehmen dann die Rikscha zum Hotel und checken aus.	0
checken im Hotel ein und genehmigen uns eine Muetze Schlaf.	1
Holi auch bei uns im Hotel Kleider-Opfer fordert.	1
"Im Hotel zurueck,"	0
 I have been confined to my room for most of today.	0
gehen wir darauf nicht ein und wollen in ein Hotel in der Naehe.	0
" Wir klappern etliche Hotels in der Stadt ab,"	0
" dass zwar alle Hotels Zimmer hatten,"	1
Hotel endlich fuendig.	1
"Our small room was next to a common area,"	1
clothes and somehow managed to fall asleep again.	1
 until the glare became strong enough to cause a headache.	1
" In the center of the room were two tombs,"	1
 The structure has never been washed—the monsoons do a good enough job of keeping it clean.	1
"Dachterasse unseres Hotels erklimmen,"	0
"durch sind mit unserer Tour denken wir Shaid im Hotel anzufinden,"	0
"Zum Abendessen haben wir uns im Hotel angemeldet,"	1
 Da wir sher müde sind checken wir in dem von Harish vorgeschlagenen Ankur Resort ein und buchen auch hier an der Rezeption eine- etwas teurere- Tigersafari für morgen früh.	0
 Als naechstes dann das gewohnte Bild: wir kommen an und wollen uns clever an den pre-paid Taxi Schalter begeben um nicht abgezockt zu werden.	1
" wo wir hin wollen und laesst uns ein Hotel ansehen,"	1
Hotel was very comfortable and the shower was not lacking in pressure or hot water which made the nights sleep very welcoming.	1
 The history of the country was told to us by our very informed guide and the names all run together but his love and pride of his beloved India came thru in every tale of the countries history.	1
 The next morning we returned to the Amber Fort to find our personal beast of burden the Indian Elephant waiting to take us up the hill to the entrance gate of the fort.	1
 The best part of the ride apart from the spectacular view of the valley was the respite it allowed us from the ever present street hawkers selling us every imaginable kind of trinket as a souvenir of our visit.	1
" We had been advised to stay for as short a time as possible,"	0
 not even staying the night if feasible.	0
" For the sake of our sanity we hate to rush in and out of a place so we decided to stay for at least two nights,"	1
 Thankfully the hotel we had chosen was liveable and we were delighted to find a beautiful rooftop garden awaiting us from which views of the Taj Mahal could not be surpassed.	1
 sharing facts and other novelties acquired from the guidebook which told interestingly of the Emperor Akbar’s many wives of different faiths from around the world whom he housed luxuriously in the grounds.	1
 The palace’s most lovely attraction was the Ornamental Pool and pavilion where we sat leisurely so as to fully enjoy.	1
Soon we found ourselves on the rooftop of our hotel once again to eat a delicious dinner as the sun set about the Taj.	1
 We made our way to the West entrance and joined the small queue that had already formed.	0
" We didn’t wait long before acquiring tickets and then had to join another,"	0
" The dawn light was not yet prevalent enough to properly illuminate the white marble and the paleness of the structure almost blended with the pallid,"	1
 space enough to really enjoy it.	0
 This hollow room is shared also by pigeons and filled less than peacefully during daytime hours by ephemeral observers.	1
Eventually and with regret we drew ourselves away from the Taj only to spend the remainder of our time staring at it fixatedly from our rooftop while we maintained our full bellies.	1
 A few days previous I sat in the jeep waiting to depart for Darjeeling and watched as an adolescent girl slapped a much smaller girl of about three years hard across the face.	1
 Now as we sat waiting we were given little warning as a beggar woman stood before us peeing down her legs and skirt.	0
" but all too often I am required to resort to the next stage; stare back,"	1
" Lucky for us they stayed clear of our beds,"	1
 tedious hours on the train passed I mentally checked out but Chris managed to make friends with some particularly lovely fellows from Assam.	1
Crawling from one station to another just to wait for an hour before shuffling along again we were presented ample viewing time at the window.	1
 deciding in an unspoken agreement that it was her son’s responsibility to allow his mother to sit - but he sat their sneering.	1
"Upon awaking the next morning in a hotel room,"	1
 listening to the hustle and bustle of Varanasi and feeling spiteful toward Chris as he returned from a walk along the ghats buzzing with euphoria from experiencing the sights and sounds outside the hotel walls.	1
" The first day had not been such an issue for me as little was happening outside due to local elections that day,"	1
We extended our stay so that when I was recovered I would have time to fully appreciate the place.	1
